시스템명,시스템모듈명,시스템명아이디,시스템모듈코드,1선담당자명,1선담당자아이디,1선담당자연락처,1선담당자이메일,1선담당자알림,2선담당자명,사용여부,정렬순서,접수지연발송
그룹웨어(Portal),회사포탈,Portal,Portal_1,이름,사번,전화번호,이메일,예,이름,예,1,예
그룹웨어(Portal),전자결재,Portal,Portal_2,,,,,예,,예,2,예
그룹웨어(Portal),전자메일,Portal,Portal_3,,,,,예,,예,3,예
그룹웨어(Portal),ktalk,Portal,Portal_4,,,,,예,,예,4,예
그룹웨어(Portal),차량담당,Portal,Portal_5,,,,,예,,예,5,예
그룹웨어(Portal),인장날인,Portal,Portal_6,,,,,예,,예,6,예
통합부동산관리(ONE),개발사업(PS),ONE,ONE_PS,,,,,예,,예,11,예
통합부동산관리(ONE),자산운영(PM),ONE,ONE_PM,,,,,예,,예,12,예
통합부동산관리(ONE),FM관리(FM),ONE,ONE_FM,,,,,예,,예,13,예
통합부동산관리(ONE),전표/예산(FI),ONE,ONE_FI,,,,,예,,예,14,예
통합부동산관리(ONE),경영정보(BI),ONE,ONE_BI,,,,,예,,예,15,예
통합부동산관리(ONE),"공통,업무결재(SM)",ONE,ONE_SM,,,,,예,,예,16,예
통합부동산관리(ONE),VOC(VC),ONE,ONE_VC,,,,,예,,예,17,예
통합부동산관리(ONE),권한관리(GR),ONE,ONE_GR,,,,,예,,예,18,예
통합부동산관리(ONE),배포관리(WD),ONE,ONE_WD,,,,,예,,예,19,예
전자조달(EPS),입찰/계약,EPS,EPS_1,,,,,예,,예,21,예
전자조달(EPS),권한관리(GR),EPS,EPS_2,,,,,예,,예,22,예
경영정보(BIS),경영정보,BIS,BIS_1,,,,,예,,예,31,예
인재개발원(LIME),인재개발원(LIME),LIME,LIME_1,,,,,예,,예,41,예
인재개발원(LIME),인재개발원홈페이지,LIME,LIME_2,,,,,예,,예,42,예
회사홈페이지(KTEH),회사홈페이지,KTEH,KTEH_1,,,,,예,,예,51,예
리마크빌홈페이지(Remk),리마크빌홈페이지,Remk,REMK_1,,,,,예,,예,61,예
호텔맴버십(HMS),홈페이지,HMS,HMS_1,,,,,예,,예,71,예
호텔맴버십(HMS),맴버십관리솔루션,HMS,HMS_2,,,,,예,,예,72,예
전사적자원관리(ERP),공사관리(PS),ERP,ERP_PS,,,,,예,,예,81,예
전사적자원관리(ERP),구매관리(MM),ERP,ERP_MM,,,,,예,,예,82,예
전사적자원관리(ERP),인사관리(HR),ERP,ERP_HR,,,,,예,,예,83,예
전사적자원관리(ERP),부동산관리(RE),ERP,ERP_RE,,,,,예,,예,84,예
전사적자원관리(ERP),재무회계(FI),ERP,ERP_FI,,,,,예,,예,85,예
전사적자원관리(ERP),관리회계(CO),ERP,ERP_CO,,,,,예,,예,86,예
전사적자원관리(ERP),ERP포탈(EP),ERP,ERP_EP,,,,,예,,예,87,예
전사적자원관리(ERP),권한관리(GRC),ERP,ERP_GRC,,,,,예,,예,88,예
통합관제(SIOS),통합관제,SIOS,SIOS_1,,,,,예,,예,91,예
주차관리(Park),주차관리,Park,PARK_1,,,,,아니오,,아니오,101,예
내부회계(ICFR),내부회계,ICFR,ICFR_1,,,,,아니오,,아니오,111,예
비즈라운지(BizL),비즈라운지,BizL,BIZL_1,,,,,예,,예,121,예
전자문서고(EDMS),전자문서고,EDMS,EDMS_1,,,,,예,,예,131,예
도면관리(Revit),도면관리,Revit,REVIT_1,,,,,예,,예,141,예
윈도우&OA(OS),"PC, 윈도우, 팀즈, OA 등",OS,OS_1,,,,,예,,예,151,예
외장하드반출 요청,"외장하드, USB디스크",SECUR,SECUR_1,,,,,예,,예,161,예
보안솔루션문의,보안솔루션,SECUR_SOL,SECUR_SOL_1,,,,,예,,예,171,예
보안솔루션 변경 요청,업무 사이트 추가,SECUR_CHG,SECUR_CHG_1,,,,,예,,예,181,예
보안솔루션 변경 요청,DLP 정책 변경,SECUR_CHG,SECUR_CHG_2,,,,,예,,예,182,예
보안솔루션 변경 요청,DRM 정책 변경,SECUR_CHG,SECUR_CHG_3,,,,,예,,예,183,예
보안솔루션 변경 요청,NAC 정책 변경,SECUR_CHG,SECUR_CHG_4,,,,,예,,예,184,예
보안솔루션 변경 요청,comvoy 정책 변경,SECUR_CHG,SECUR_CHG_5,,,,,예,,예,185,예
보안솔루션 변경 요청,SSLVPN 정책 변경,SECUR_CHG,SECUR_CHG_6,,,,,예,,예,186,예
보안솔루션 변경 요청,WAF 정책 변경,SECUR_CHG,SECUR_CHG_7,,,,,예,,예,187,예
보안솔루션 변경 요청,방화벽 정책 신청,SECUR_CHG,SECUR_CHG_8,,,,,예,,예,188,예
보안솔루션 변경 요청,협력사 사용자 추가,SECUR_CHG,SECUR_CHG-9,,,,,예,,예,189,예
보안솔루션 변경 요청,기타 변경,SECUR_CHG,SECUR_CHG_10,,,,,예,,예,190,예
안전보건스퀘어2.0,웹시스템,SFTY_MELTH,SFTY_MELTH_1,,,,,예,,예,201,예
안전보건스퀘어2.0,모바일시스템,SFTY_MELTH,SFTY_MELTH_2,,,,,예,,예,202,예
구)그룹웨어 (이전 그룹포탈),회사포털,OLD_PORTAL,OLD_PORTAL_1,,,,,예,,예,211,예
구)그룹웨어 (이전 그룹포탈),전자결재,OLD_PORTAL,OLD_PORTAL_2,,,,,예,,예,212,예
IT인프라,인프라,IT_Infra,IT_Infra_1,,,,,예,,예,221,예
IT인프라,정보보안,IT_Infra,IT_Infra_2,,,,,예,,예,222,예
